State,City,Population,Total law enforcement employees,Total officers,Total civilians,,,,
,Maplesville,690,5,5,0,,,,
,Marion,"3,133",13,6,7,,,,
,McIntosh,233,9,9,0,,,,
,McKenzie,604,1,1,0,,,,
,Mentone,481,2,2,0,,,,
,Midfield,"5,158",16,12,4,,,,
,Midland City,"1,865",11,5,6,,,,
,Millbrook,"17,249",39,30,9,,,,
,Millport,"1,007",1,1,0,,,,
,Millry,588,4,3,1,,,,
,Mobile,"251,041",686,512,174,,,,
,Monroeville,"6,373",29,23,6,,,,
,Montevallo,"6,030",18,14,4,,,,
,Montgomery,"204,398",654,499,155,,,,
,Moody,"13,588",19,18,1,,,,
,Morris,"1,904",8,6,2,,,,
,Moulton,"3,262",11,11,0,,,,
,Moundville,"2,571",8,7,1,,,,
,Mountain Brook,"21,057",62,49,13,,,,
,Mount Vernon,817,6,5,1,,,,
,Muscle Shoals,"12,925",43,34,9,,,,
,Myrtlewood,131,1,1,0,,,,
,Napier Field,394,2,2,0,,,,
,New Brockton,"1,227",5,3,2,,,,
,New Hope,"2,775",7,7,0,,,,
,New Site,828,1,1,0,,,,
,Newton,"1,648",5,4,1,,,,
,North Courtland,797,2,1,1,,,,
,Northport,"23,223",79,60,19,,,,
,Notasulga,832,6,3,3,,,,
,Oakman,924,3,3,0,,,,
,Odenville,"1,264",9,9,0,,,,
,Ohatchee,"1,237",6,6,0,,,,
,Oneonta,"7,058",19,18,1,,,,
,Opelika,"26,015",96,75,21,,,,
,Opp,"6,662",29,22,7,,,,
,Orange Beach,"6,589",57,36,21,,,,
,Owens Crossroads,"1,491",4,4,0,,,,
,Oxford,"20,511",62,50,12,,,,
,Ozark,"14,584",40,34,6,,,,
,Pelham,"21,532",80,65,15,,,,
,Pell City,"12,898",33,30,3,,,,
,Phenix City,"30,952",99,78,21,,,,
,Phil Campbell,"1,035",2,2,0,,,,
,Pickensville,632,2,1,1,,,,
,Piedmont,"4,962",19,14,5,,,,
,Pinckard,623,2,2,0,,,,
,Pine Hill,905,4,4,0,,,,
,Pleasant Grove,"10,299",26,20,6,,,,
,Powell,975,2,1,1,,,,
,Prattville,"32,849",86,76,10,,,,
,Priceville,"2,659",4,4,0,,,,
,Prichard,"27,691",67,45,22,,,,
,Ragland,"2,125",4,3,1,,,,
,Rainbow City,"9,276",32,22,10,,,,
,Rainsville,"4,950",15,11,4,,,,
,Ranburne,481,2,2,0,,,,
,Red Bay,"3,242",11,7,4,,,,
,Reform,"1,786",5,5,0,,,,
,Riverside,"2,023",4,4,0,,,,
,Roanoke,"6,618",29,24,5,,,,
,Robertsdale,"5,018",27,14,13,,,,
,Rockford,392,2,1,1,,,,
,Russellville,"8,758",28,24,4,,,,
,Samson,"2,006",6,5,1,,,,
,Saraland,"12,893",49,38,11,,,,
,Sardis City,"2,177",4,4,0,,,,
,Scottsboro,"14,870",66,44,22,,,,
,Selma,"18,772",72,48,24,,,,
,Sheffield,"9,118",35,29,6,,,,
,Shorter,352,11,4,7,,,,
,Silas,472,2,1,1,,,,
,Silverhill,695,2,2,0,,,,
,Sipsey,540,1,1,0,,,,
,Skyline,831,3,1,2,,,,
,Slocomb,"2,033",7,6,1,,,,
,Snead,846,5,5,0,,,,
,Southside,"8,441",15,9,6,,,,
,Spanish Fort,"5,831",15,14,1,,,,
,Springville,"3,618",12,12,0,,,,
,Steele,"1,214",3,2,1,,,,
,Stevenson,"2,003",6,4,2,,,,
,Sulligent,"1,960",7,7,0,,,,
,Sumiton,"2,541",11,7,4,,,,
,Summerdale,714,6,5,1,,,,
,Sylacauga,"12,876",48,41,7,,,,
,Sylvania,"1,266",2,2,0,,,,
,Talladega,"16,951",50,38,12,,,,
,Tallassee,"5,144",22,16,6,,,,
,Tarrant City,"6,505",31,25,6,,,,
,Taylor,"1,980",2,2,0,,,,
,Thomasville,"4,474",21,16,5,,,,
,Thorsby,"2,068",6,6,0,,,,
,Town Creek,"1,206",2,2,0,,,,
,Triana,493,2,2,0,,,,
,Trinity,"1,914",6,6,0,,,,
,Troy,"14,538",68,48,20,,,,
,Trussville,"19,199",57,45,12,,,,
,Tuscaloosa,"90,157",337,262,75,,,,
,Tuscumbia,"8,275",28,21,7,,,,
,Tuskegee,"11,287",38,26,12,,,,
,Union Springs,"4,566",16,10,6,,,,
,Uniontown,"1,413",8,8,0,,,,
,Valley,"8,774",37,27,10,,,,
,Valley Head,649,3,2,1,,,,
,Vance,839,3,3,0,,,,
,Vernon,"1,886",7,7,0,,,,
,Vestavia Hills,"31,055",67,65,2,,,,
,Warrior,"3,003",20,14,6,,,,
,Weaver,"2,686",10,7,3,,,,
,Webb,"1,361",2,2,0,,,,
,Wedowee,815,9,9,0,,,,
,West Blocton,"1,425",2,2,0,,,,
,Wetumpka,"7,840",38,28,10,,,,
,Wilton,630,1,1,0,,,,
,Winfield,"4,651",11,10,1,,,,
,Woodstock,"1,023",4,4,0,,,,
ALASKA,Anchorage,"280,068",553,383,170,,,,
,Bethel,"6,557",20,12,8,,,,
,Bristol Bay Borough,963,10,4,6,,,, 
,Cordova,"2,227",12,5,7,,,,
,Craig,"1,153",11,5,6,,,,
,Dillingham,"2,506",16,4,12,,,,
,Emmonak,839,5,5,0,,,,
,Fairbanks,"35,131",50,46,4,,,,
,Haines,"2,255",7,3,4,,,,
,Homer,"5,808",20,12,8,,,,
,Hoonah,716,10,3,7,,,,
,Houston,"2,153",1,1,0,,,,
,Juneau,"30,692",84,49,35,,,,
,Kake,636,5,2,3,,,,
,Kenai,"7,784",26,17,9,,,,
,Ketchikan,"7,305",36,24,12,,,,
,Klawock,730,2,2,0,,,,
,Kodiak,"6,159",34,18,16,,,,
,Kotzebue,"3,160",19,9,10,,,,
,Nome,"3,589",13,7,6,,,,
,North Pole,"2,276",13,12,1,,,,
,North Slope Borough,"6,419",64,47,17,,,,
,Palmer,"8,292",29,14,15,,,,
,Petersburg,"2,839",15,9,6,,,,
,Sand Point,887,4,3,1,,,,
,Seldovia,309,1,1,0,,,,
,Seward,"3,092",17,10,7,,,,
,Sitka,"8,879",34,19,15,,,,
,Skagway,818,8,4,4,,,,
,Soldotna,"4,360",16,14,2,,,,
,St. Paul,432,5,3,2,,,,
,Togiak,823,5,5,0,,,,
,Unalaska,"3,789",28,13,15,,,,
,Valdez,"3,817",20,11,9,,,,
,Wasilla,"10,497",48,22,26,,,,
,Whittier,161,3,3,0,,,,
,Wrangell,"1,998",13,7,6,,,,
ARIZONA,Apache Junction,"31,521",89,53,36,,,,
,Avondale,"85,376",151,96,55,,,,
,Benson,"4,995",25,16,9,,,,
,Bisbee,"5,958",21,15,6,,,,
,Buckeye,"32,070",88,66,22,,,,
,Bullhead City,"41,976",133,80,53,,,,
,Camp Verde,"11,011",34,22,12,,,,
,Casa Grande,"39,928",109,78,31,,,,
,Chandler,"253,076",502,336,166,,,,
,Chino Valley,"11,326",34,24,10,,,,
,Clarkdale,"4,328",12,10,2,,,,
,Clifton,"2,354",7,3,4,,,,
,Colorado City,"4,999",11,6,5,,,,
,Coolidge,"9,904",41,31,10,,,,
,Cottonwood,"11,520",44,28,16,,,,
,Douglas,"17,007",48,33,15,,,,
,Eagar,"4,536",11,8,3,,,,
,El Mirage,"27,543",52,44,8,,,,
,Eloy,"12,214",45,33,12,,,,
,Flagstaff,"60,400",170,116,54,,,,
,Florence,"17,880",43,28,15,,,,
,Fredonia,"1,108",4,4,0,,,,
,Gilbert,"220,373",334,224,110,,,,
,Glendale,"256,659",530,372,158,,,,
,Globe,"7,080",30,22,8,,,,
,Goodyear,"58,732",128,92,36,,,,
