State,City,Population,Total law enforcement employees,Total officers,Total civilians,,,,
,Carlinville,"5,938",17,12,5,,,,
,Carlyle,"3,365",8,7,1,,,,
,Carmi,"5,170",10,9,1,,,,
,Carol Stream,"39,699",93,64,29,,,,
,Carpentersville,"38,420",81,67,14,,,,
,Carrier Mills,"1,839",2,2,0,,,,
,Carrollton,"2,430",6,6,0,,,,
,Carterville,"5,464",7,7,0,,,,
,Carthage,"2,486",3,3,0,,,,
,Cary,"20,164",31,27,4,,,,
,Casey,"2,920",7,6,1,,,,
,Caseyville,"4,301",15,11,4,,,,
,Central City,"1,311",4,4,0,,,,
,Centralia,"13,488",36,27,9,,,,
,Centreville,"5,646",16,13,3,,,,
,Chadwick,472,1,1,0,,,,
,Champaign,"76,187",153,121,32,,,,
,Channahon,"14,799",29,25,4,,,,
,Charleston,"20,191",35,33,2,,,,
,Chatham,"10,590",20,14,6,,,,
,Chenoa,"3,260",4,4,0,,,,
,Cherry Valley,"2,267",13,12,1,,,,
,Chester,"7,725",12,9,3,,,,
,Chicago,"2,829,304","14,307","13,359",948,,,,
,Chicago Heights,"30,579",103,74,29,,,,
,Chicago Ridge,"13,353",35,31,4,,,,
,Chillicothe,"5,839",14,9,5,,,,
,Christopher,"2,820",5,5,0,,,,
,Cicero,"80,428",177,152,25,,,,
,Clarendon Hills,"8,661",16,15,1,,,,
,Clinton,"7,153",15,13,2,,,,
,Coal City,"5,685",13,12,1,,,,
,Coal Valley,"4,053",8,7,1,,,,
,Cobden,"1,107",3,3,0,,,,
,Colfax,"1,003",1,1,0,,,,
,Collinsville,"26,019",65,46,19,,,,
,Colona,"5,196",11,10,1,,,,
,Columbia,"9,402",21,14,7,,,,
,Cordova,694,2,2,0,,,,
,Cortland,"4,242",4,4,0,,,,
,Coulterville,"1,151",2,2,0,,,,
,Country Club Hills,"16,837",62,46,16,,,,
,Countryside,"5,788",34,27,7,,,,
,Crest Hill,"21,539",27,25,2,,,,
,Crestwood,"11,102",4,3,1,,,,
,Crete,"9,164",23,21,2,,,,
,Creve Coeur,"5,191",8,6,2,,,,
,Crystal Lake,"42,058",75,62,13,,,,
,Cuba,"1,332",2,2,0,,,,
,Dallas City,977,1,1,0,,,,
,Danvers,"1,146",1,1,0,,,,
,Danville,"32,310",79,64,15,,,,
,Darien,"22,372",54,38,16,,,,
,Decatur,"76,044",199,166,33,,,,
,Deerfield,"19,731",52,38,14,,,,
,De Kalb,"44,309",74,61,13,,,,
,De Pue,"1,756",1,1,0,,,,
,De Soto,"1,574",4,3,1,,,,
,Des Plaines,"56,999",128,103,25,,,,
,Divernon,"1,120",2,2,0,,,,
,Dixmoor,"3,780",10,8,2,,,,
,Dixon,"15,183",31,27,4,,,,
,Dolton,"23,844",63,48,15,,,,
,Downers Grove,"48,908",107,77,30,,,,
,Dupo,"4,054",7,7,0,,,,
,Du Quoin,"6,333",15,11,4,,,,
,Durand,"1,089",1,1,0,,,,
,Dwight,"4,275",9,8,1,,,,
,Earlville,"1,840",3,3,0,,,,
,East Alton,"6,543",18,12,6,,,,
,East Carondelet,624,1,1,0,,,,
,East Dubuque,"1,940",7,7,0,,,,
,East Dundee,"3,128",15,14,1,,,,
,East Hazel Crest,"1,538",10,9,1,,,,
,East Moline,"21,022",50,40,10,,,,
,East Peoria,"22,703",55,41,14,,,,
,East St. Louis,"28,691",98,69,29,,,,
,Edwardsville,"24,724",54,40,14,,,,
,Effingham,"12,457",34,21,13,,,,
,Elburn,"5,556",10,9,1,,,,
,Eldorado,"4,408",11,7,4,,,,
,Elgin,"105,535",246,183,63,,,,
,Elizabeth,653,1,1,0,,,,
,Elk Grove Village,"33,399",108,94,14,,,,
,Elmhurst,"45,664",92,70,22,,,,
,Elmwood,"1,869",1,1,0,,,,
,Elmwood Park,"23,988",41,34,7,,,,
,El Paso,"2,775",5,5,0,,,,
,Elwood,"2,438",13,11,2,,,,
,Energy,"1,211",4,4,0,,,,
,Erie,"1,543",3,3,0,,,,
,Eureka,"5,263",6,6,0,,,,
,Evanston,"76,129",209,156,53,,,,
,Evergreen Park,"19,344",72,60,12,,,,
,Fairbury,"3,785",9,8,1,,,,
,Fairfield,"5,164",17,13,4,,,,
,Fairmont City,"2,242",10,8,2,,,,
,Fairview,482,1,1,0,,,,
,Fairview Heights,"16,694",57,40,17,,,,
,Farmer City,"1,956",6,3,3,,,,
,Farmington,"2,426",5,5,0,,,,
,Fisher,"1,766",2,2,0,,,,
,Flora,"4,726",16,11,5,,,,
,Flossmoor,"9,353",24,19,5,,,,
,Forest Park,"15,278",52,37,15,,,,
,Forest View,717,11,8,3,,,,
,Fox Lake,"11,335",30,25,5,,,,
,Fox River Grove,"5,202",13,13,0,,,,
,Frankfort,"18,589",33,29,4,,,,
,Franklin Park,"17,937",55,51,4,,,,
,Freeburg,"4,317",11,10,1,,,,
,Freeport,"24,572",73,55,18,,,,
,Fulton,"3,826",9,8,1,,,,
,Galena,"3,341",13,10,3,,,,
,Galesburg,"30,783",83,53,30,,,,
,Galva,"2,644",3,3,0,,,,
,Geneseo,"6,429",21,14,7,,,,
,Geneva,"24,794",47,36,11,,,,
,Genoa,"5,109",11,10,1,,,,
,Georgetown,"3,444",4,4,0,,,,
,Germantown,"1,219",1,1,0,,,,
,Gibson City,"3,306",9,7,2,,,,
,Gifford,"1,021",1,1,0,,,,
,Gilberts,"7,074",9,8,1,,,,
,Gillespie,"3,165",9,6,3,,,,
,Gilman,"1,709",3,3,0,,,,
,Girard,"2,170",5,5,0,,,,
,Glasford,"1,032",1,1,0,,,,
,Glen Carbon,"12,783",25,19,6,,,,
,Glencoe,"9,059",43,33,10,,,,
,Glendale Heights,"31,968",82,56,26,,,,
,Glen Ellyn,"27,159",50,42,8,,,,
,Glenview,"46,740",89,77,12,,,,
,Glenwood,"8,495",24,22,2,,,,
,Golf,449,4,4,0,,,,
,Grafton,729,5,5,0,,,,
,Granite City,"30,528",70,57,13,,,,
,Grant Park,"1,667",5,5,0,,,,
,Granville,"1,345",2,2,0,,,,
,Grayslake,"22,018",39,33,6,,,,
,Grayville,"1,577",5,1,4,,,,
,Greenfield,"1,073",2,2,0,,,,
,Greenup,"1,469",4,4,0,,,,
,Greenville,"7,174",14,10,4,,,,
,Gurnee,"30,799",91,63,28,,,,
,Hainesville,"3,990",6,5,1,,,,
,Hamilton,"2,774",4,4,0,,,,
,Hampshire,"4,964",13,13,0,,,,
,Hampton,"1,796",4,4,0,,,,
,Hanover Park,"36,766",77,54,23,,,,
,Harrisburg,"9,614",15,14,1,,,,
,Hartford,"1,475",5,4,1,,,,
,Harvard,"10,082",26,20,6,,,,
,Harvey,"28,030",114,72,42,,,,
,Harwood Heights,"8,051",35,26,9,,,,
,Havana,"3,316",10,6,4,,,,
,Hawthorn Woods,"8,175",11,10,1,,,,
,Hazel Crest,"14,084",34,28,6,,,,
,Hebron,"1,295",4,4,0,,,,
,Henry,"2,443",4,4,0,,,,
,Herrin,"12,261",23,16,7,,,,
,Herscher,"1,610",2,2,0,,,,
,Hickory Hills,"13,316",36,29,7,,,,
,Highland,"9,717",27,19,8,,,,
,Highland Park,"31,601",81,59,22,,,,
,Highwood,"5,406",14,13,1,,,,
,Hillsboro,"6,157",8,8,0,,,,
,Hillside,"8,442",36,29,7,,,,
,Hinckley,"2,090",3,3,0,,,,
,Hinsdale,"18,476",38,28,10,,,,
,Hodgkins,"2,023",23,22,1,,,,
,Hoffman Estates,"53,594",121,102,19,,,,
,Homer,"1,136",1,1,0,,,,
,Hometown,"4,109",5,1,4,,,,
,Homewood,"18,494",43,38,5,,,,
,Hoopeston,"5,638",17,12,5,,,,
,Hopedale,918,2,2,0,,,,
,Huntley,"25,752",36,30,6,,,,
,Indian Head Park,"3,631",11,10,1,,,,
,Irving,479,1,1,0,,,,
,Island Lake,"8,554",21,15,6,,,,
,Itasca,"8,636",34,26,8,,,,
,Jacksonville,"19,237",51,40,11,,,,
,Jerome,"1,280",7,7,0,,,,
,Jerseyville,"8,303",20,14,6,,,,
,Johnsburg,"6,814",11,10,1,,,,
,Johnston City,"3,498",4,4,0,,,,
,Joliet,"149,617",391,302,89,,,,
,Jonesboro,"1,830",3,3,0,,,,
,Justice,"12,567",30,24,6,,,,
,Kankakee,"26,489",87,72,15,,,,
,Kenilworth,"2,388",13,10,3,,,,
,Kewanee,"12,277",32,24,8,,,,
,Kildeer,"4,206",23,21,2,,,,
,Kincaid,"1,446",1,1,0,,,,
,Kirkland,"1,785",3,3,0,,,,
,Knoxville,"2,906",5,5,0,,,,
,Lacon,"1,847",3,3,0,,,,
,La Grange,"15,268",38,29,9,,,,
,La Grange Park,"12,399",29,23,6,,,,
,Lake Bluff,"6,247",23,17,6,,,,
,Lake Forest,"21,249",62,43,19,,,,
,Lake in the Hills,"30,372",57,41,16,,,,
,Lakemoor,"6,003",12,12,0,,,,
,Lake Villa,"9,046",18,17,1,,,,
,Lakewood,"3,873",9,8,1,,,,
,Lake Zurich,"20,874",54,35,19,,,,
,La Moille,746,1,1,0,,,,
,Lanark,"1,452",1,1,0,,,,
,Lansing,"26,676",76,57,19,,,,
,La Salle,"9,488",30,24,6,,,,
,Lebanon,"4,173",11,11,0,,,,
,Leland,959,1,1,0,,,,
,Leland Grove,"1,427",6,6,0,,,,
,Lemont,"16,308",33,27,6,,,,
,Lenzburg,530,1,1,0,,,,
,Le Roy,"3,520",6,6,0,,,,
,Lewistown,"2,364",4,4,0,,,,
,Lexington,"1,892",3,3,0,,,,
,Libertyville,"21,954",59,42,17,,,,
,Lincoln,"14,549",26,25,1,,,,
,Lincolnshire,"7,827",36,25,11,,,,
,Lincolnwood,"11,812",44,33,11,,,,
,Lindenhurst,"14,887",18,16,2,,,,
,Lisle,"23,210",58,44,14,,,,
,Litchfield,"6,621",23,16,7,,,,
,Lockport,"25,802",46,39,7,,,,
,Lombard,"42,851",90,73,17,,,,
,Loves Park,"24,766",38,34,4,,,,
,Ludlow,368,1,1,0,,,,
,Lynwood,"8,046",23,17,6,,,,
,Lyons,"10,347",35,28,7,,,,
,Machesney Park,"23,075",26,25,1,,,,
,Macomb,"18,735",32,29,3,,,,
,Madison,"4,569",14,10,4,,,,
,Mahomet,"6,436",8,7,1,,,,
,Manhattan,"7,308",10,9,1,,,,
,Manito,"1,626",3,3,0,,,,
,Manteno,"8,774",18,17,1,,,,
,Marengo,"7,693",22,16,6,,,,
,Marion,"17,421",40,29,11,,,,
,Marissa,"1,980",4,4,0,,,,
,Markham,"12,138",49,41,8,,,,
,Maroa,"1,527",4,4,0,,,,
,Marquette Heights,"2,829",5,5,0,,,,
,Marseilles,"4,922",14,9,5,,,,
,Marshall,"3,732",10,9,1,,,,
,Martinsville,"1,215",2,2,0,,,,
,Maryville,"7,514",17,12,5,,,,
,Mascoutah,"6,581",14,13,1,,,,
,Mason City,"2,359",5,5,0,,,,
,Matteson,"17,669",46,36,10,,,,
,Mattoon,"17,214",51,40,11,,,,
,Maywood,"25,044",76,59,17,,,,
,McCook,237,23,18,5,,,,
,McCullom Lake,"1,095",1,1,0,,,,
,McHenry,"27,111",62,45,17,,,,
,McLean,790,1,1,0,,,,
,McLeansboro,"2,737",5,5,0,,,,
,Melrose Park,"21,886",85,75,10,,,,
,Mendota,"6,998",23,15,8,,,,
,Meredosia,967,1,1,0,,,,
,Metamora,"3,407",5,5,0,,,,
,Metropolis,"6,462",22,17,5,,,,
,Midlothian,"13,670",33,28,5,,,,
,Milan,"5,185",19,14,5,,,,
,Milledgeville,929,2,2,0,,,,
,Millstadt,"3,366",8,8,0,,,,
,Minier,"1,245",2,2,0,,,,
,Minonk,"2,144",3,3,0,,,,
,Minooka,"11,629",24,21,3,,,,
,Mokena,"19,522",37,34,3,,,,
,Moline,"42,903",111,86,25,,,,
,Monee,"5,273",15,14,1,,,,
,Monmouth,"9,020",30,20,10,,,,
,Montgomery,"16,592",32,22,10,,,,
,Monticello,"5,336",7,6,1,,,,
,Morris,"13,769",34,25,9,,,,
,Morrison,"4,287",7,7,0,,,,
,Morton,"16,077",30,22,8,,,,
,Morton Grove,"22,518",59,45,14,,,,
,Mound City,592,1,1,0,,,,
,Mount Carmel,"7,417",17,12,5,,,,
,Mount Carroll,"1,652",3,3,0,,,,
,Mount Morris,"3,069",5,4,1,,,,
,Mount Olive,"2,050",5,3,2,,,,
,Mount Prospect,"53,405",110,86,24,,,,
,Mount Pulaski,"1,578",2,2,0,,,,
,Mount Sterling,"1,883",10,5,5,,,,
,Mount Vernon,"16,315",58,45,13,,,,
,Mount Zion,"5,126",13,10,3,,,,
,Moweaqua,"1,802",2,2,0,,,,
,Mundelein,"32,935",73,54,19,,,,
,Murphysboro,"8,242",22,15,7,,,,
,Naperville,"144,205",300,186,114,,,,
,Nashville,"3,027",8,7,1,,,,
,Nauvoo,"1,169",3,3,0,,,,
,Neoga,"1,741",3,3,0,,,,
,New Athens,"2,007",4,4,0,,,,
,New Baden,"3,194",5,5,0,,,,
,New Lenox,"25,595",44,40,4,,,,
,Newman,916,1,1,0,,,,
,Newton,"2,932",7,6,1,,,,
,Niles,"28,702",77,62,15,,,,
,Nokomis,"2,251",5,4,1,,,,
,Normal,"52,536",94,80,14,,,,
,Norridge,"13,965",53,37,16,,,,
,North Aurora,"16,283",32,30,2,,,,
,Northbrook,"34,099",94,66,28,,,,
,North Chicago,"32,551",77,58,19,,,,
,Northfield,"5,462",27,20,7,,,,
,Northlake,"11,481",55,38,17,,,,
,North Pekin,"1,684",2,2,0,,,,
,North Riverside,"6,236",35,26,9,,,,
,Oak Brook,"8,815",57,42,15,,,,
,Oakbrook Terrace,"2,423",25,22,3,,,,
,Oak Forest,"27,870",53,41,12,,,,
,Oak Lawn,"53,182",127,105,22,,,,
,Oak Park,"49,551",145,116,29,,,,
,Oakwood,"1,433",1,1,0,,,,
,Oblong,"1,522",1,1,0,,,,
,O'Fallon,"27,725",59,46,13,,,,
,Oglesby,"3,651",12,9,3,,,,
,Okawville,"1,331",3,3,0,,,,
,Olney,"8,308",19,13,6,,,,
,Olympia Fields,"4,690",21,19,2,,,,
,Oregon,"4,148",10,9,1,,,,
,Orion,"1,689",3,3,0,,,,
,Orland Hills,"7,299",14,13,1,,,,
,Orland Park,"56,224",125,96,29,,,,
,Oswego,"31,784",62,51,11,,,,
,Ottawa,"19,243",47,36,11,,,,
,Palatine,"67,440",141,112,29,,,,
,Palestine,"1,324",2,2,0,,,,
,Palmyra,707,2,1,1,,,,
,Palos Heights,"12,644",29,27,2,,,,
,Palos Hills,"16,951",36,33,3,,,,
,Palos Park,"4,883",12,11,1,,,,
,Pana,"5,401",13,9,4,,,,
,Paris,"8,738",23,17,6,,,,
,Park City,"6,660",13,11,2,,,,
,Park Forest,"22,586",50,41,9,,,,
,Park Ridge,"36,729",68,55,13,,,,
,Pawnee,"2,520",10,6,4,,,,
,Paxton,"4,540",7,7,0,,,,
,Pecatonica,"2,231",4,4,0,,,,
,Pekin,"33,346",64,55,9,,,,
,Peoria,"113,616",290,250,40,,,,
,Peoria Heights,"6,209",16,11,5,,,,
,Peotone,"4,364",11,10,1,,,,
,Peru,"9,797",33,26,7,,,,
,Petersburg,"2,196",5,5,0,,,,
,Pinckneyville,"5,398",7,6,1,,,,
,Piper City,741,1,1,0,,,,
,Pittsfield,"4,506",6,6,0,,,,
,Plainfield,"39,856",79,55,24,,,,
,Plano,"11,932",21,19,2,,,,
,Polo,"2,483",3,3,0,,,,
,Pontiac,"11,250",26,24,2,,,,
,Pontoon Beach,"6,109",18,13,5,,,,
,Port Barrington,"1,537",1,1,0,,,,
,Posen,"4,955",17,15,2,,,,
,Potomac,654,1,1,0,,,,
,Princeton,"7,527",17,16,1,,,,
,Prophetstown,"1,919",4,3,1,,,,
,Prospect Heights,"16,031",29,26,3,,,,
,Quincy,"39,993",91,76,15,,,,
,Rankin,586,1,1,0,,,,
,Rantoul,"12,338",39,31,8,,,,
,Raymond,899,2,2,0,,,,
,Red Bud,"3,644",7,7,0,,,,
,Richmond,"2,516",4,4,0,,,,
,Richton Park,"12,926",31,26,5,,,,
,Ridge Farm,857,1,1,0,,,,
,Ridgway,859,3,3,0,,,,
,Riverdale,"14,185",46,38,8,,,,
,River Forest,"11,031",34,31,3,,,,
,River Grove,"9,992",30,24,6,,,,
,Riverside,"8,270",24,18,6,,,,
,Robbins,"6,274",12,4,8,,,,
,Robinson,"6,343",15,14,1,,,,
,Rochelle,"9,877",28,21,7,,,,
,Rochester,"3,208",8,8,0,,,,
,Rockdale,"2,008",4,4,0,,,,
,Rock Falls,"9,293",25,18,7,,,,
,Rockford,"157,262",335,302,33,,,,
,Rock Island,"38,072",110,84,26,,,,
,Rockton,"5,512",16,15,1,,,,
,Rolling Meadows,"23,501",81,56,25,,,,
,Romeoville,"39,701",92,69,23,,,,
,Roodhouse,"2,095",8,4,4,,,,
,Roscoe,"9,151",14,13,1,,,,
,Roselle,"23,256",53,37,16,,,,
,Rosemont,"3,926",95,75,20,,,,
,Rossville,"1,159",2,2,0,,,,
,Round Lake,"19,028",29,23,6,,,,
,Round Lake Beach,"28,196",53,43,10,,,,
,Round Lake Heights,"3,087",4,4,0,,,,
,Round Lake Park,"6,210",15,12,3,,,,
,Roxana,"1,491",6,5,1,,,,
,Royalton,"1,164",3,3,0,,,,
,Rushville,"3,117",4,4,0,,,,
,Salem,"7,416",21,14,7,,,,
,Sandwich,"7,423",22,16,6,,,,
,Sauget,238,15,14,1,,,,
,Sauk Village,"10,326",34,25,9,,,,
,Savanna,"3,193",8,8,0,,,,
,Schaumburg,"71,753",176,129,47,,,,
,Schiller Park,"11,455",40,33,7,,,,
,Seneca,"2,115",7,3,4,,,,
,Sesser,"2,124",5,4,1,,,,
,Shawneetown,"1,307",3,3,0,,,,
,Shelbyville,"4,574",8,7,1,,,,
,Sheridan,"2,203",3,3,0,,,,
,Sherman,"3,834",6,6,0,,,,
,Shiloh,"11,146",18,17,1,,,,
,Shorewood,"15,994",31,27,4,,,,
,Silvis,"7,895",21,14,7,,,,
,Skokie,"67,087",146,112,34,,,,
,Sleepy Hollow,"3,687",8,7,1,,,,
,Smithton,"3,506",5,5,0,,,,
,Somonauk,"1,653",4,4,0,,,,
,South Barrington,"4,347",18,15,3,,,,
,South Beloit,"5,542",18,16,2,,,,
,South Chicago Heights,"3,783",11,7,4,,,,
,South Elgin,"21,626",42,32,10,,,,
,Southern View,"1,625",4,4,0,,,,
,South Holland,"21,124",45,43,2,,,,
,South Jacksonville,"3,254",6,5,1,,,,
,South Pekin,"1,210",2,2,0,,,,
,South Roxana,"1,804",5,5,0,,,,
,Sparta,"4,273",18,12,6,,,,
,Springfield,"117,762",318,269,49,,,,
,Spring Grove,"5,948",12,10,2,,,,
,Spring Valley,"5,363",14,11,3,,,,
,St. Anne,"1,241",3,3,0,,,,
,Staunton,"5,143",10,7,3,,,,
,St. Charles,"33,379",69,55,14,,,,
,Steger,"10,556",25,17,8,,,,
,Sterling,"15,074",43,30,13,,,,
,St. Francisville,730,1,1,0,,,,
,Stickney,"5,765",23,16,7,,,,
,Stockton,"1,774",4,3,1,,,,
,Stone Park,"4,862",17,15,2,,,,
,Stonington,895,2,2,0,,,,
,Streamwood,"37,389",73,61,12,,,,
,Streator,"13,748",31,24,7,,,,
,Sugar Grove,"10,506",18,17,1,,,,
,Sullivan,"4,340",10,8,2,,,,
,Summit,"10,240",35,29,6,,,,
,Sumner,"1,974",2,2,0,,,,
,Swansea,"13,022",28,22,6,,,,
,Sycamore,"17,898",31,28,3,,,,
,Taylorville,"12,169",28,22,6,,,,
,Thomson,525,1,1,0,,,,
,Thornton,"2,384",13,12,1,,,,
,Tilton,"2,778",3,3,0,,,,
,Tinley Park,"60,293",107,79,28,,,,
,Tolono,"2,867",4,4,0,,,,
,Tremont,"2,078",3,3,0,,,,
,Trenton,"2,646",5,5,0,,,,
,Troy,"9,878",24,18,6,,,,
,Tuscola,"4,555",8,7,1,,,,
,University Park,"8,347",20,16,4,,,,
,Urbana,"39,685",66,53,13,,,,
,Valmeyer,"1,235",2,2,0,,,,
,Vandalia,"6,730",18,13,5,,,,
,Venice,"2,418",6,4,2,,,,
,Vernon Hills,"24,640",73,47,26,,,,
,Vienna,"1,294",4,4,0,,,,
,Villa Grove,"2,457",5,4,1,,,,
,Villa Park,"22,301",56,41,15,,,,
,Virden,"3,368",10,6,4,,,,
,Virginia,"1,679",1,1,0,,,,
,Wamac,"1,263",3,3,0,,,,
,Warren,"1,370",4,3,1,,,,
,Warrensburg,"1,166",2,2,0,,,,
,Warrenville,"13,025",39,32,7,,,,
,Warsaw,"1,599",3,3,0,,,,
,Washburn,"1,091",1,1,0,,,,
,Washington,"14,046",30,21,9,,,,
,Waterloo,"9,837",15,13,2,,,,
,Waterman,"1,467",2,2,0,,,,
,Watseka,"5,471",11,10,1,,,,
,Wauconda,"12,329",37,25,12,,,,
,Waukegan,"91,487",212,157,55,,,,
,Wayne,"2,382",5,5,0,,,,
,Westchester,"15,717",47,35,12,,,,
,West Chicago,"26,897",63,48,15,,,,
,West City,754,9,5,4,,,,
,West Dundee,"8,307",24,21,3,,,,
,Western Springs,"12,638",29,21,8,,,,
,West Frankfort,"8,198",19,14,5,,,,
,Westmont,"25,032",55,40,15,,,,
,West Salem,941,1,1,0,,,,
,Westville,"3,004",3,3,0,,,,
,Wheaton,"54,428",92,70,22,,,,
,Wheeling,"36,102",94,67,27,,,,
,White Hall,"2,459",8,5,3,,,,
,Williamsfield,571,2,2,0,,,,
,Willowbrook,"8,843",29,25,4,,,,
,Willow Springs,"6,043",24,18,6,,,,
,Wilmette,"26,437",62,45,17,,,,
,Wilmington,"6,220",22,15,7,,,,
,Winchester,"1,546",2,2,0,,,,
,Winfield,"10,117",22,20,2,,,,
,Winnebago,"3,207",6,6,0,,,,
,Winnetka,"12,414",37,28,9,,,,
,Winthrop Harbor,"7,271",17,11,6,,,,
,Witt,958,1,1,0,,,,
,Wonder Lake,"3,677",4,2,2,,,,
,Wood Dale,"13,866",51,34,17,,,,
,Woodhull,792,1,1,0,,,,
,Woodridge,"34,560",79,53,26,,,,
,Wood River,"10,937",25,19,6,,,,
,Woodstock,"23,605",53,41,12,,,,
,Worden,"1,035",1,1,0,,,,
,Worth,"10,433",26,24,2,,,,
,Yates City,664,1,1,0,,,,
,Yorkville,"16,906",35,30,5,,,,
,Zeigler,"1,667",4,4,0,,,,
,Zion,"25,409",64,48,16,,,,
INDIANA,Albion,"2,328",7,6,1,,,,
,Alexandria,"5,839",16,12,4,,,,
,Anderson,"57,019",136,117,19,,,,
,Angola,"7,951",21,17,4,,,,
,Attica,"3,291",6,6,0,,,,
,Auburn,"12,926",30,23,7,,,,
,Aurora,"4,072",13,10,3,,,,
,Austin,"4,621",6,6,0,,,,
,Avon,"11,847",23,21,2,,,,
,Bargersville,"2,730",6,5,1,,,,
,Batesville,"6,420",17,11,6,,,,
,Bedford,"13,458",42,32,10,,,,
,Beech Grove,"14,191",43,31,12,,,,
,Berne,"4,243",8,7,1,,,,
,Bloomington,"72,337",124,87,37,,,,
,Bluffton,"9,333",33,20,13,,,,
,Boonville,"6,713",17,14,3,,,,
,Brazil,"8,212",15,11,4,,,,
,Bremen,"4,659",16,12,4,,,,
,Brownsburg,"20,122",48,40,8,,,,
,Burns Harbor,"1,122",6,5,1,,,,
,Carmel,"65,982",124,104,20,,,,
,Cedar Lake,"10,817",21,16,5,,,,
,Charlestown,"7,252",20,15,5,,,,
,Clinton,"4,817",8,7,1,,,,
,Columbia City,"8,307",20,18,2,,,,
,Columbus,"39,889",83,74,9,,,,
,Connersville,"13,827",31,30,1,,,,
,Corydon,"2,755",7,7,0,,,,
,Covington,"2,425",6,6,0,,,,
,Crawfordsville,"15,061",46,31,15,,,,
,Crown Point,"24,479",53,40,13,,,,
,Culver,"1,494",4,4,0,,,,
,Danville,"8,229",17,15,2,,,,
,Decatur,"9,484",21,17,4,,,,
,Delphi,"2,872",9,6,3,,,,
,Dyer,"15,924",34,26,8,,,,
,East Chicago,"29,890",126,111,15,,,,
,Elkhart,"52,654",141,119,22,,,,
,Elwood,"8,968",19,14,5,,,,
,Evansville,"115,639",310,277,33,,,,
,Fairmount,"2,711",7,4,3,,,,
,Fishers,"70,594",96,89,7,,,,
,Fort Wayne,"251,194",485,447,38,,,,
,Fowler,"2,188",4,4,0,,,,
,Franklin,"23,088",57,41,16,,,,
,Gas City,"5,662",14,10,4,,,,
,Georgetown,"3,034",3,3,0,,,,
,Goshen,"32,152",69,59,10,,,,
,Greencastle,"10,028",18,16,2,,,,
,Greendale,"4,370",15,11,4,,,,
,Greenwood,"47,770",71,49,22,,,,
,Griffith,"16,216",39,31,8,,,,
,Hagerstown,"1,628",5,5,0,,,,
,Hammond,"76,498",259,210,49,,,,
,Hartford City,"6,281",15,13,2,,,,
,Hebron,"3,653",8,7,1,,,,
,Highland,"22,608",49,41,8,,,,
,Hobart,"28,139",68,53,15,,,,
,Huntingburg,"6,139",11,10,1,,,,
,Huntington,"16,537",46,35,11,,,,
,Indianapolis,"808,329","1,848","1,590",258,,,,
,Jasonville,"2,442",5,5,0,,,,
,Jeffersonville,"29,853",72,61,11,,,,
,Kendallville,"10,348",27,18,9,,,,
,Knox,"3,805",7,7,0,,,,
,Kokomo,"45,779",136,103,33,,,,
,Lafayette,"63,990",162,127,35,,,,
,La Porte,"21,031",50,42,8,,,,
,Lawrence,"43,216",66,58,8,,,,
,Lawrenceburg,"4,847",26,21,5,,,,
,Lebanon,"15,378",30,29,1,,,,
,Ligonier,"4,517",10,9,1,,,,
,Linton,"5,659",14,10,4,,,,
,Logansport,"18,626",49,41,8,,,,
,Long Beach,"1,536",6,5,1,,,,
,Loogootee,"2,590",5,4,1,,,,
,Lowell,"8,386",19,14,5,,,,
,Lynn,"1,044",2,2,0,,,,
,Madison,"12,651",35,27,8,,,,
,Marion,"30,127",85,69,16,,,,
,Martinsville,"11,717",29,20,9,,,,
,Merrillville,"32,353",64,51,13,,,,
,Michigan City,"31,726",95,86,9,,,,
,Mishawaka,"49,756",133,102,31,,,,
,Monticello,"5,245",17,13,4,,,,
,Mooresville,"11,788",28,22,6,,,,
,Mount Vernon,"6,993",15,14,1,,,,
,Muncie,"65,084",109,102,7,,,,
,Munster,"22,217",50,39,11,,,,
,Nappanee,"7,164",21,15,6,,,,
,New Albany,"36,934",67,62,5,,,,
,New Castle,"18,229",36,33,3,,,,
,New Chicago,"1,993",6,2,4,,,,
,New Haven,"13,735",29,20,9,,,,
,New Whiteland,"5,851",12,7,5,,,,
,Noblesville,"43,333",85,74,11,,,,
,North Liberty,"1,339",4,4,0,,,,
,North Manchester,"5,836",16,11,5,,,,
,North Vernon,"6,294",21,18,3,,,,
,Oakland City,"2,521",4,4,0,,,,
,Peru,"12,420",31,29,2,,,,
,Plainfield,"26,769",47,42,5,,,,
,Plymouth,"11,126",29,24,5,,,,
,Portage,"36,887",77,60,17,,,,
,Portland,"6,163",17,13,4,,,,
,Princeton,"8,500",18,16,2,,,,
,Richmond,"36,738",83,74,9,,,,
,Rochester,"6,448",19,14,5,,,,
,Roseland,620,2,2,0,,,,
,Rushville,"6,090",18,13,5,,,,
,Salem,"6,535",15,10,5,,,,
,Schererville,"29,320",62,49,13,,,,
,Scottsburg,"5,939",14,13,1,,,,
,Seymour,"19,269",50,36,14,,,,
,Shelbyville,"18,461",53,41,12,,,,
,South Bend,"103,561",326,257,69,,,,
,South Whitley,"1,859",4,4,0,,,,
,Speedway,"12,527",47,34,13,,,,
,St. John,"12,871",25,19,6,,,,
,Sullivan,"4,464",9,7,2,,,,
,Tell City,"7,518",19,12,7,,,,
,Terre Haute,"58,860",147,128,19,,,,
,Tipton,"5,026",15,12,3,,,,
,Union City,"3,418",14,9,5,,,,
